#,question_name                                              ,group        ,type,answers ,evidence_bundle,feature_name               ,fhir_resource_type,code_system,codes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,valueset_oid,nlp_task_type    ,text_terms                                                                                                                                                                              ,value_min,value_max,value_enum_set,value_extractor_ast,logic                                                                     ,notes
1,Atrial Fibrilation (from text)?                            ,Case         ,MC  ,"Yes,No",case           ,case_keywords              ,                  ,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,            ,ProviderAssertion,"afib,a fib,Atrial Fibrillation,a Fibrillation,Atrial fib,aflutter,atrial flutter, a flutter,af,atrial fibrulation, atrial fabrillation,atrial fibrilation,atr fib,atrfib,auricular fib",         ,         ,              ,                   ,                                                                          ,
2,Atrial Fibrilation (by code)?                              ,Case         ,MC  ,"Yes,No",case           ,case_codes                 ,Observation       ,SNOMED     ,"""195080001"",""49436004"""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,            ,CQLExecutionTask ,                                                                                                                                                                                        ,         ,         ,              ,                   ,                                                                          ,
2,Atrial Fibrilation (by code)?                              ,Case         ,MC  ,"Yes,No",case           ,case_codes_icd9            ,Observation       ,ICD9       ,"427.31,427.3,427.32"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,            ,CQLExecutionTask ,                                                                                                                                                                                        ,         ,         ,              ,                   ,                                                                          ,
2,Atrial Fibrilation (by code)?                              ,Case         ,MC  ,"Yes,No",case           ,case_codes_icd10           ,Observation       ,ICD10      ,"I4891,I4892"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,            ,CQLExecutionTask ,                                                                                                                                                                                        ,         ,         ,              ,                   ,                                                                          ,
3,Heart transplant?                                          ,Case         ,MC  ,"Yes,No",case           ,heart_transplant_codes     ,Procedure         ,CPT        ,"""580"",""33935"",""33945"""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,            ,CQLExecutionTask ,                                                                                                                                                                                        ,         ,         ,              ,                   ,                                                                          ,
4,Matches Case (Afib and no heart transplant)?               ,Case         ,MC  ,"Yes,No",case           ,matches_afib_case          ,                  ,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,            ,Logic            ,                                                                                                                                                                                        ,         ,         ,              ,                   ,(case_keywords) NOT heart_transplant_codes                                ,
5,MI with 14 days pre or post?                               ,Subcase 1    ,MC  ,"Yes,No",case           ,myocardial_infarction_terms,                  ,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,            ,ProviderAssertion,"myocardial infarction,MI,heart attack,cardiac arrest,cardiac infarction,cardiopulmonary arrest,heart arrest,myocardial infarct"                                                        ,         ,         ,              ,                   ,                                                                          ,
6,Cardiac Surgery                                            ,Subcase 1    ,MC  ,"Yes,No",case           ,cardiac_surgery_codes      ,Procedure         ,CPT        ,"566,32160,33120,33130,33141,33257,33258,33259,33300,33305,33310,33315,33400,33401,33403,33404,33405,33406,33410,33411,33412,33413,33415,33416,33420,33422,33425,33426,33427,33430,33460,33463,33464,33465,33468,33470,33471,33472,33474,33475,33500,33501,33507,33572,33600,33602,33608,33610,33615,33617,33619,33641,33647,33660,33722,33730,33732,33735,33736,33737,33774,33775,33776,33777,33778,33779,33780,33781,33800,33852,33853,33863,33864,33877,33891,33967,33968,33970,33971,33973,33974,33999,34830,34831,34832,34833,34834,35452,35481,35491,35501,35506,35507,35508,35509,35510,35511,35512,35515,35516,35518,35521,35522,35523,35525,35526,35531,35533,35536,35537,35538,35539,35540,35548,35549,35551,35556,35558,35560,35563,35565,35566,35571,35572,35601,35606,35612,35616,35621,35623,35626,35631,35636,35637,35638,35642,35645,35646,35647,35650,35651,35654,35656,35661,35663,35665,35666,35671,35681,35682,35683,35685,35697,38562,38564,61020,61026,62190,62220,88305,0081T,4110F",            ,CQLExecutionTask ,                                                                                                                                                                                        ,         ,         ,              ,                   ,                                                                          ,
7,Matches Subcase 1 (Afrib and no MI and no cardiac surgery)?,Subcase 1    ,MC  ,"Yes,No",case           ,matches_subcase1           ,                  ,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,            ,Logic            ,                                                                                                                                                                                        ,         ,         ,              ,                   ,(case_keywords) NOT (myocardial_infarction_terms OR cardiac_surgery_codes),
7,Matches Subcase 2 (Afrib and MI or cardiac surgery)?       ,Subcase 2    ,MC  ,"Yes,No",case           ,matches_subcase2           ,                  ,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,            ,Logic            ,                                                                                                                                                                                        ,         ,         ,              ,                   ,(case_keywords) AND (myocardial_infarction_terms OR cardiac_surgery_codes),
8,Case Possible (Afib codes or keywords)?                    ,Case Possible,MC  ,"Yes,No",case           ,case_possible              ,                  ,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,            ,Logic            ,                                                                                                                                                                                        ,         ,         ,              ,                   ,case_keywords OR case_codes OR case_codes_icd9 OR case_codes_icd10        ,
